"name","population"
Yerevan,1248700
Sofija,1122302
Tbilisi,1235200
Roma,2643581
Venezia,277305
Athenai,772072
Ciudad de México,8591309
Berlin,3386667
Moscow,8389200
New York,8008278
Washington,572059
